verb,dobj,full
show,variation,show variation
sign,treaty,sign treaty
start,process,start process
store,datum,store datum
store,information,store information
suggest,mechanism,suggest mechanism
support,argument,support argument
support,quest,support quest
take,approach,take approach
take,consideration,take consideration
take,initiative,take initiative
take,precedence,take precedence
take,responsibility,take responsibility
take,role,take role
test,hypothesis,test hypothesis
test,theory,test theory
transmit,datum,transmit datum
transmit,information,transmit information
undertake,activity,undertake activity
undertake,research,undertake research
undertake,work,undertake work
reach,consensus,reach consensus
modify,effect,modify effect
