Specimen,Collection,Kingdom,Classifaction,Class,Order,Common Name,Family,Species,Author,Year,Geological time,Location,lat,lon,color,BP (mb) Low,BP (mb) High,Wind Low (Km/hr),Wind High (Km/hr),Temp C Low,Temp C High,Percipitation (mm),Humidity High,Humidity Low,Habitat,Sex,Notes,Environment,Antenna,Antennules,Body Length 1 mm,Body Length 2 mm,Body Length 3 mm,Total Body Length,Fore Wing Area,Fore Wing Length01mm,Fore Wing Length02mm,Fore Wing Width01mm,Fore Wing Width02mm,Fore Wing Width03mm,Fore Wing Width04mm,Fore Wing Width05mm,Fore Wing Width06mm,Fore Wing Width07mm,Hind Wing Area,Hind Wing Length01mm,Hind Wing Length02mm,Hind Wing Width01mm,Hind Wing Width02mm,Hind Wing Width03mm,Hind Wing Width04mm,Hind Wing Width05mm,Hind Wing Width06mm,Hind Wing Width07mm,Fore Wing perimeter,Hind Wing perimeter,Wing Span,Number of Wings,Body Width01mm,Body Width02mm,Body Width03mm,Telson L,Telson W,Orbital,W. B-t orbitals,Chela L,Chela W,chela + immovable finger,movable finger,Librigena,Head thickness,Body Thickness 1,Body Thickness 2,Skull Length,Skull Hieght,Skull Width,Neck,Rib cage Length,Femur,Tibia,Foot Length,Foot Width,Humerous,Lower arm,Digits 1,Digits 2,Digits 3,Digits 4,Tail,Link to functions,Collector,Date,Data Collector,Date Entered
CMNHENT0042662,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Gray Petaltail,Petaluridae,Tachopteryx thoreyi,Hagen in Sélys,1858,Recent,"Deep Woods farm, Township of Benton, Hocking Co., OH, U.S.A.",39.43,-82.57,#311e2a,1500,1500,150,150,150,150,150,150,150,NA,U,NA,Air,-1,-1,26.64603413,52.48558168,0,79.13161581,486.1307585,51.13376372,54.68875378,11.31930407,9.457411727,10.81603143,7.676660895,10.84873983,11.99734591,8.525793837,588.6753708,49.74737084,54.27033106,13.67419157,14.1616664,11.13060236,12.08869192,15.09815679,12.91156815,8.677965641,113.6615509,115.7276531,109.3775076,4,7.109980117,9.045920449,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,,6/14/2008,Alexandra Calvin,3/9/2017
CMNHENT0042663,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Gray Petaltail,Petaluridae,Tachopteryx thoreyi,Hagen in Sélys,1858,Recent,"OH, Lake Co. Leroy Twp., Indian Point Park - Grand River",41.7197,-81.165,#311e2a,1014,1017,0,24,150,150,150,150,150,NA,M,NA,Air,-1,-1,25.8750871,50.9355788,0,76.8106659,496.331679,50.67003708,54.92310153,12.03738669,9.886456006,10.99127791,7.705630603,11.18509938,12.0157727,8.067786697,595.8158547,48.7253156,53.2341134,14.70642565,15.41708344,10.9863504,10.42383013,15.32043442,13.71339743,8.315407435,113.1351671,115.3686049,109.8462031,4,8.506128915,9.017595608,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",6/27/1980,Alexandra Calvin,3/9/2017
CMNHENT0042664,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Anisoptera,Gray Petaltail,Petaluridae,Tachopteryx thoreyi,Hagen in Sélys,1858,Recent,"4836 Palisade Dr., Madison Twp., Lake Co., OH",41.7429,-81.0589,#311e2a,1500,1500,150,150,10,24,150,150,150,NA,U,NA,Air,-1,-1,25.62929016,53.24762782,0,78.87691799,534.6164918,53.80502528,57.5797954,12.37544527,10.02616202,10.74066647,7.168244241,11.54344293,12.08664416,8.640801554,642.4217097,51.54925319,56.15737225,14.05902965,15.96639532,11.1255949,13.50889797,15.35503703,12.89525615,8.744748006,118.195505,120.9757898,115.1595908,4,7.549540238,9.216238121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Chapman, E. G. (Eric G.)",6/17/1993,Alexandra Calvin,3/9/2017
CMNHENT0043565,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Zygoptera,Damselfly,Coenagrionidae,Enallagma exulans,Hagen,1861,Recent,"Ashtabula Co., OH",41.7,-80.7667,#4a4a1c,1500,1500,150,150,17,28,150,150,150,NA,M,NA,Air,-1,-1,9.332737056,27.98583642,0,37.31857347,53.9563248,20.43876738,21.67226118,3.409098296,1.510282563,3.805225555,0.89172528,2.515793378,3.638348835,3.351991868,46.77792737,19.95254093,20.80231893,2.782966151,1.186924486,3.968418511,1.070349978,1.830821978,3.39254111,3.494157275,43.31062216,42.31432767,43.34452237,4,2.466987613,1.699556012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",7/12/1979,Alexandra Calvin,3/9/2017
CMNHENT0043568,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Zygoptera,Damselfly,Coenagrionidae,Enallagma exulans,Hagen,1861,Recent,"OH, Lake Co. Madison Twp., Lake Metroparks - Hidden Valley",41.7419,-81.0491,#4a4a1c,1500,1500,150,150,10,21,0.94,150,150,NA,M,NA,Air,-1,-1,8.331363482,26.22624534,0,34.55760882,50.37612256,20.18761871,21.16213183,2.856297664,1.428818169,3.778272496,0.979624459,2.183525692,3.632988467,3.916226664,43.07934841,19.13137704,19.74915874,2.323046066,0.788104387,3.845388961,0.323058018,1.483873577,3.454853959,3.783996487,42.34387281,40.34904157,42.32426365,4,1.949026224,1.235563401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",6/27/1974,Alexandra Calvin,3/9/2017
CMNHENT0043569,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Zygoptera,Damselfly,Coenagrionidae,Enallagma exulans,Hagen,1861,Recent,"North Chagrin Reservation, Squires Castle Area, Cuyahoga Co., Ohio",41.54,-81.66,#4a4a1c,1018,1022,10,29,17,26,34.29,93,62,NA,M,NA,Air,-1,-1,5.976531129,25.05232817,0,31.0288593,37.00951673,18.45687307,19.45070663,2.594299306,0.963909137,3.160487119,0.564084696,1.823311851,2.770798858,2.863418803,34.21961518,17.24070832,17.99174228,2.674500035,1.413592731,3.229011059,0.564085634,2.171835964,2.926290035,2.926290035,38.62951495,36.09066234,38.90141325,4,1.98766711,1.502067931,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",8/25/1973,Alexandra Calvin,3/9/2017
CMNHENT0043570,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Zygoptera,Damselfly,Coenagrionidae,Enallagma exulans,Hagen,1861,Recent,"Grand River Wildlife Area, Trumbull Co., Ohio, USA",41.32,-80.76,#4a4a1c,1014,1019,0,14,19,34,150,87,37,NA,M,fog,Air,-1,-1,8.861699881,26.4622536,0,35.32395348,50.36466211,20.45176064,21.26263474,2.793217829,1.885090343,3.625974314,0.894034073,2.266469489,3.398395122,3.383005277,43.45608193,18.43782685,19.54008231,3.129731782,1.365970794,3.890140706,0.85770607,2.371841663,3.585379708,3.282955292,43.04132321,38.9312905,42.52526949,4,1.621748204,2.204510918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",8/2/1975,Alexandra Calvin,3/9/2017
CMNHENT0043571,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Zygoptera,Damselfly,Coenagrionidae,Enallagma exulans,Hagen,1861,Recent,"OH, Lake Co. Leroy Twp., Indian Point Park - Grand River",41.7197,-81.165,#4a4a1c,1014,1016,10,27,150,150,150,150,150,NA,M,"rain, fog",Air,-1,-1,8.12689455,25.43165661,0,33.55855116,45.15138459,19.20574491,20.11745274,3.050653258,1.907241207,3.890141067,0.784868728,1.861309073,3.410732524,3.09250395,40.98819211,17.66247257,18.83807199,2.961310946,1.498387562,3.617540686,0.930312186,2.461892968,3.611903784,3.034339111,40.27866513,37.33229828,40.23490548,4,1.823415667,2.351198832,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",6/29/1974,Alexandra Calvin,3/9/2017
CMNHENT0043623,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Zygoptera,Damselfly,Coenagrionidae,Enallagma vesperum,Calvert,1919,Recent,"Holden Arboretum, Kirtland Twp., Lake Co., OH",41.82,-81.24,#94133f,1013,1020,0,24,8,22,150,97,53,NA,M,fog,Air,-1,-1,6.25946213,25.64818999,0,31.90765212,40.64836597,17.93356969,18.46348789,2.827185462,1.968325752,3.434161463,1.71541214,2.170077399,3.389771195,2.575095049,37.58607409,16.6224267,17.38062661,3.078063592,1.76658546,3.431194285,0.95993876,2.32304295,3.329916954,2.977170282,37.26120793,35.23750896,36.92697578,4,1.059836398,1.51639982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",9/15/1972,Alexandra Calvin,3/9/2017
CMNHENT0043624,Cleveland Museum of Natural History,Animal,Flight animal,Insecta,Zygoptera,Damselfly,Coenagrionidae,Enallagma vesperum,Calvert,1919,Recent,"Holden Arboretum, Kirtland Twp., Lake Co., OH",41.82,-81.24,#94133f,1016,1020,0,21,11,24,150,97,33,NA,M,NA,Air,-1,-1,8.719227791,25.04358632,0,33.76281411,43.97155767,17.96597493,18.77872196,3.24552224,2.134000602,3.292246507,1.363172402,2.770798858,3.527763647,2.961311032,35.46055908,16.64010119,17.48837881,2.832582995,1.514439093,3.482740043,0.763496192,2.422282956,3.386388555,2.321399188,37.98345797,35.2025967,37.55744393,4,1.625494065,1.696555224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Testingindex.html,"Perry, T. E.",7/5/1964,Alexandra Calvin,3/9/2017
